Unnamed: 0,surfactant,nanoparticle,concentration,run_id,bd_row_idx,bd_t [s],bd_BC [mm?²],bd_M?B?A? [µm²],bd_SD M?B?A? [µm²],bd_R_avg [Âµm],bd_Ravg [µm],bd_R21 [µm],bd_R32 [µm],bd_v,bd_w,hd_t [s],hd_h_foam [mm],hd_h_liquid [mm],hd_h_total [mm],hd_V_foam [mL],hd_V_liquid [mL],hd_V_total [mL],hd_FVS [%],hd_FLS [%],hd_T [°C],frame_path
0,Bioterg i wt.%,AL2O3_Done,0.00625,1,0,63.98,52.344,19104.0,9871.0,75.0,78.0,81.0,86.0,1.0,0.0,68.05,214.1,20.9,235.0,259.1,25.3,284.4,100.0,100.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_063.png
1,Bioterg i wt.%,AL2O3_Done,0.00625,1,1,68.98,52.435,19071.0,9975.0,75.0,78.0,81.0,86.0,1.0,0.0,69.05,214.1,20.9,235.0,259.1,25.3,284.4,100.0,100.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_064.png
2,Bioterg i wt.%,AL2O3_Done,0.00625,1,2,73.98,51.563,19394.0,9822.0,76.0,79.0,81.0,86.0,1.0,0.0,74.05,214.1,20.9,235.0,259.1,25.3,284.4,100.0,100.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_065.png
3,Bioterg i wt.%,AL2O3_Done,0.00625,1,3,78.98,51.247,19513.0,9679.0,76.0,79.0,81.0,86.0,1.0,1.0,79.05,212.1,22.5,234.6,256.7,27.2,283.9,99.1,94.3,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_066.png
4,Bioterg i wt.%,AL2O3_Done,0.00625,1,4,83.98,49.611,20157.0,10070.0,77.0,80.0,83.0,87.0,1.0,0.0,84.05,206.6,26.5,233.1,250.0,32.1,282.1,96.5,80.4,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_067.png
5,Bioterg i wt.%,AL2O3_Done,0.00625,1,5,88.98,46.873,21334.0,10906.0,80.0,82.0,85.0,90.0,1.0,1.0,89.05,202.3,30.0,232.3,244.7,36.3,281.0,94.5,68.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_068.png
6,Bioterg i wt.%,AL2O3_Done,0.00625,1,6,93.98,43.275,23108.0,12947.0,83.0,86.0,89.0,95.0,1.0,4.0,94.05,197.4,33.2,230.6,238.8,40.2,279.1,92.2,56.9,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_069.png
7,Bioterg i wt.%,AL2O3_Done,0.00625,1,7,98.98,37.988,26324.0,17030.0,87.0,92.0,96.0,105.0,2.0,6.0,99.05,193.3,36.6,229.9,233.8,44.3,278.1,90.3,45.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_070.png
8,Bioterg i wt.%,AL2O3_Done,0.00625,1,8,103.98,33.618,29746.0,22534.0,92.0,97.0,103.0,116.0,2.0,10.0,104.05,189.6,39.5,229.1,229.4,47.8,277.2,88.6,35.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_071.png
9,Bioterg i wt.%,AL2O3_Done,0.00625,1,9,108.98,29.373,34045.0,26369.0,98.0,104.0,111.0,125.0,2.0,8.0,109.05,185.4,42.4,227.8,224.3,51.3,275.6,86.6,25.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_072.png
10,Bioterg i wt.%,AL2O3_Done,0.00625,1,10,113.98,25.623,39028.0,34332.0,103.0,111.0,121.0,139.0,2.0,9.0,114.05,181.5,44.8,226.3,219.6,54.1,273.8,84.8,16.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_073.png
11,Bioterg i wt.%,AL2O3_Done,0.00625,1,11,118.98,22.249,44947.0,41520.0,110.0,120.0,130.0,152.0,2.0,8.0,119.05,178.3,47.1,225.4,215.7,57.0,272.7,83.2,8.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_074.png
12,Bioterg i wt.%,AL2O3_Done,0.00625,1,12,123.98,18.719,53423.0,53189.0,118.0,130.0,144.0,171.0,3.0,12.0,124.05,175.6,49.0,224.6,212.5,59.3,271.8,82.0,2.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_075.png
13,Bioterg i wt.%,AL2O3_Done,0.00625,1,13,128.98,15.293,65389.0,65175.0,130.0,144.0,161.0,191.0,2.0,6.0,129.05,172.6,51.0,223.6,208.9,61.7,270.6,80.6,-4.9,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_076.png
14,Bioterg i wt.%,AL2O3_Done,0.00625,1,14,133.98,12.721,78613.0,81090.0,141.0,158.0,177.0,212.0,2.0,7.0,134.05,170.1,52.5,222.6,205.9,63.5,269.4,79.5,-10.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_077.png
15,Bioterg i wt.%,AL2O3_Done,0.00625,1,15,138.98,10.724,93252.0,100970.0,152.0,172.0,195.0,236.0,2.0,8.0,139.05,167.8,53.4,221.1,203.0,64.6,267.6,78.3,-13.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_078.png
16,Bioterg i wt.%,AL2O3_Done,0.00625,1,16,143.98,9.18,108938.0,115834.0,164.0,186.0,212.0,254.0,2.0,6.0,144.05,166.9,53.4,220.2,201.9,64.6,266.5,77.9,-13.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_079.png
17,Bioterg i wt.%,AL2O3_Done,0.00625,1,17,148.98,7.667,130433.0,140871.0,178.0,204.0,233.0,280.0,2.0,7.0,149.05,166.4,53.4,219.8,201.3,64.6,265.9,77.7,-13.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_080.png
18,Bioterg i wt.%,AL2O3_Done,0.00625,1,18,153.98,6.548,152716.0,168100.0,191.0,220.0,255.0,307.0,2.0,5.0,154.05,164.0,53.4,217.4,198.4,64.6,263.0,76.6,-13.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_081.png
19,Bioterg i wt.%,AL2O3_Done,0.00625,1,19,158.98,5.644,177173.0,200534.0,203.0,237.0,277.0,336.0,2.0,5.0,159.05,163.1,53.4,216.5,197.4,64.6,262.0,76.2,-13.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_082.png
20,Bioterg i wt.%,AL2O3_Done,0.00625,1,20,163.98,4.589,217893.0,241633.0,226.0,263.0,307.0,369.0,2.0,5.0,164.05,162.1,53.4,215.5,196.2,64.6,260.8,75.7,-13.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_083.png
21,Bioterg i wt.%,AL2O3_Done,0.00625,1,21,168.98,4.162,240243.0,282181.0,233.0,277.0,328.0,399.0,2.0,5.0,169.05,161.5,53.2,214.8,195.4,64.4,259.8,75.4,-12.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_084.png
22,Bioterg i wt.%,AL2O3_Done,0.00625,1,22,173.98,3.555,281323.0,324186.0,254.0,299.0,352.0,426.0,2.0,6.0,174.05,163.8,50.5,214.3,198.1,61.1,259.2,76.5,-3.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_085.png
23,Bioterg i wt.%,AL2O3_Done,0.00625,1,23,178.98,3.181,314372.0,381011.0,264.0,316.0,380.0,463.0,2.0,6.0,179.05,162.3,50.5,212.7,196.3,61.1,257.4,75.8,-3.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_086.png
24,Bioterg i wt.%,AL2O3_Done,0.00625,1,24,183.98,2.724,367155.0,445086.0,287.0,342.0,407.0,499.0,2.0,7.0,184.05,161.1,50.5,211.6,195.0,61.1,256.1,75.2,-3.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_087.png
25,Bioterg i wt.%,AL2O3_Done,0.00625,1,25,188.98,2.522,396481.0,495255.0,296.0,355.0,426.0,526.0,2.0,8.0,189.05,167.2,42.5,209.7,202.4,51.4,253.8,78.1,24.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_088.png
26,Bioterg i wt.%,AL2O3_Done,0.00625,1,26,193.98,2.22,450552.0,544580.0,320.0,379.0,449.0,550.0,2.0,8.0,194.05,167.0,42.6,209.6,202.1,51.6,253.6,78.0,24.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_089.png
27,Bioterg i wt.%,AL2O3_Done,0.00625,1,27,198.98,1.943,514708.0,614167.0,341.0,405.0,480.0,585.0,2.0,7.0,199.05,165.3,42.9,208.1,200.0,51.9,251.8,77.2,23.4,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_090.png
28,Bioterg i wt.%,AL2O3_Done,0.00625,1,28,203.98,1.819,549648.0,668833.0,351.0,418.0,498.0,609.0,2.0,8.0,204.05,156.5,50.6,207.1,189.4,61.3,250.6,73.1,-3.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_091.png
29,Bioterg i wt.%,AL2O3_Done,0.00625,1,29,208.98,1.653,605043.0,728268.0,373.0,439.0,516.0,634.0,2.0,7.0,209.05,155.5,50.2,205.7,188.2,60.8,249.0,72.6,-2.3,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_092.png
30,Bioterg i wt.%,AL2O3_Done,0.00625,1,30,213.98,1.533,652309.0,795539.0,386.0,456.0,539.0,664.0,2.0,7.0,214.05,153.9,50.9,204.7,186.2,61.6,247.7,71.9,-4.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_093.png
31,Bioterg i wt.%,AL2O3_Done,0.00625,1,31,218.98,1.314,761249.0,880470.0,421.0,492.0,576.0,699.0,2.0,6.0,219.05,152.6,50.7,203.4,184.7,61.4,246.1,71.3,-4.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_094.png
32,Bioterg i wt.%,AL2O3_Done,0.00625,1,32,223.98,1.19,840446.0,934691.0,449.0,517.0,596.0,720.0,2.0,5.0,224.05,151.3,50.5,201.8,183.0,61.1,244.1,70.6,-3.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_095.png
33,Bioterg i wt.%,AL2O3_Done,0.00625,1,33,228.98,1.158,863371.0,984671.0,455.0,524.0,604.0,740.0,2.0,5.0,229.05,150.1,50.4,200.5,181.7,61.0,242.6,70.1,-2.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_096.png
34,Bioterg i wt.%,AL2O3_Done,0.00625,1,34,233.98,1.177,849677.0,1021503.0,442.0,520.0,612.0,757.0,2.0,4.0,234.05,149.4,50.6,200.0,180.7,61.3,242.0,69.8,-3.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_097.png
35,Bioterg i wt.%,AL2O3_Done,0.00625,1,35,238.98,1.146,872234.0,1100183.0,438.0,527.0,634.0,791.0,2.0,3.0,239.05,149.1,50.5,199.6,180.4,61.1,241.5,69.6,-3.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_098.png
36,Bioterg i wt.%,AL2O3_Done,0.00625,1,36,243.98,1.015,985263.0,1227313.0,468.0,560.0,670.0,835.0,2.0,3.0,244.05,163.6,34.8,198.4,198.0,42.0,240.0,76.4,51.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_099.png
37,Bioterg i wt.%,AL2O3_Done,0.00625,1,37,248.98,0.984,1016352.0,1260226.0,469.0,569.0,690.0,850.0,2.0,3.0,249.05,146.3,50.6,196.9,177.0,61.3,238.2,68.3,-3.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_100.png
38,Bioterg i wt.%,AL2O3_Done,0.00625,1,38,253.98,0.9,1111384.0,1316108.0,497.0,595.0,712.0,867.0,2.0,3.0,254.05,152.9,42.5,195.4,185.0,51.4,236.4,71.4,24.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_101.png
39,Bioterg i wt.%,AL2O3_Done,0.00625,1,39,258.98,0.869,1150751.0,1355807.0,505.0,605.0,726.0,880.0,2.0,2.0,259.05,143.4,50.7,194.1,173.5,61.4,234.9,67.0,-4.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_102.png
40,Bioterg i wt.%,AL2O3_Done,0.00625,1,40,263.98,0.814,1227964.0,1438229.0,519.0,625.0,754.0,908.0,2.0,2.0,264.05,142.1,50.7,192.9,172.0,61.4,233.4,66.4,-4.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_103.png
41,Bioterg i wt.%,AL2O3_Done,0.00625,1,41,268.98,0.781,1280356.0,1516864.0,525.0,638.0,776.0,932.0,2.0,2.0,269.05,141.0,50.7,191.8,170.6,61.4,232.0,65.8,-4.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_104.png
42,Bioterg i wt.%,AL2O3_Done,0.00625,1,42,273.98,0.66,1515890.0,1627616.0,595.0,695.0,811.0,961.0,2.0,2.0,274.05,140.0,50.7,190.8,169.4,61.4,230.8,65.4,-4.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_105.png
43,Bioterg i wt.%,AL2O3_Done,0.00625,1,43,278.98,0.639,1564400.0,1668435.0,607.0,706.0,821.0,972.0,1.0,2.0,279.05,139.1,50.5,189.6,168.3,61.1,229.4,65.0,-3.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_106.png
44,Bioterg i wt.%,AL2O3_Done,0.00625,1,44,283.98,0.61,1640647.0,1733232.0,625.0,723.0,836.0,990.0,2.0,2.0,284.05,138.5,50.6,189.1,167.6,61.3,228.8,64.7,-3.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_107.png
45,Bioterg i wt.%,AL2O3_Done,0.00625,1,45,288.98,0.656,1525366.0,1605401.0,598.0,697.0,812.0,956.0,1.0,2.0,289.05,137.5,50.6,188.1,166.4,61.3,227.6,64.2,-3.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_108.png
46,Bioterg i wt.%,AL2O3_Done,0.00625,1,46,293.98,0.645,1551199.0,1629115.0,599.0,703.0,824.0,965.0,1.0,2.0,294.05,137.1,50.6,187.8,165.9,61.3,227.2,64.0,-3.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_109.png
47,Bioterg i wt.%,AL2O3_Done,0.00625,1,47,298.98,0.635,1573707.0,1615108.0,604.0,708.0,829.0,962.0,1.0,1.0,299.05,134.9,50.7,185.6,163.2,61.4,224.6,63.0,-4.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_110.png
48,Bioterg i wt.%,AL2O3_Done,0.00625,1,48,303.98,0.536,1866227.0,1658316.0,688.0,771.0,864.0,983.0,1.0,0.0,304.05,134.3,50.5,184.7,162.4,61.1,223.5,62.7,-3.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_111.png
49,Bioterg i wt.%,AL2O3_Done,0.00625,1,49,308.98,0.528,1893777.0,1682222.0,691.0,776.0,872.0,990.0,1.0,0.0,309.05,133.0,50.6,183.6,160.9,61.3,222.2,62.1,-3.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_112.png
50,Bioterg i wt.%,AL2O3_Done,0.00625,1,50,313.98,0.5,1998766.0,1741646.0,716.0,798.0,889.0,1009.0,1.0,0.0,314.05,132.6,50.6,183.3,160.5,61.3,221.7,61.9,-3.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_113.png
51,Bioterg i wt.%,AL2O3_Done,0.00625,1,51,318.98,0.515,1940013.0,1770136.0,701.0,786.0,881.0,1012.0,1.0,0.0,319.05,130.9,50.7,181.6,158.4,61.4,219.8,61.1,-4.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_114.png
52,Bioterg i wt.%,AL2O3_Done,0.00625,1,52,323.98,0.512,1952974.0,1800299.0,698.0,788.0,891.0,1020.0,1.0,0.0,324.05,129.8,50.6,180.4,157.0,61.3,218.3,60.6,-3.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_115.png
53,Bioterg i wt.%,AL2O3_Done,0.00625,1,53,328.98,0.485,2060269.0,1847695.0,724.0,810.0,906.0,1035.0,1.0,0.0,329.05,129.4,50.6,180.0,156.5,61.3,217.8,60.4,-3.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_116.png
54,Bioterg i wt.%,AL2O3_Done,0.00625,1,54,333.98,0.481,2080095.0,1929726.0,722.0,814.0,917.0,1054.0,1.0,0.0,334.05,145.2,34.5,179.7,175.8,41.7,217.5,67.8,52.5,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_117.png
55,Bioterg i wt.%,AL2O3_Done,0.00625,1,55,338.98,0.489,2044849.0,1862968.0,715.0,807.0,911.0,1038.0,1.0,0.0,339.05,143.6,34.6,178.2,173.8,41.9,215.7,67.1,52.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_118.png
56,Bioterg i wt.%,AL2O3_Done,0.00625,1,56,343.98,0.47,2127726.0,1897181.0,734.0,823.0,923.0,1049.0,1.0,0.0,344.05,142.1,34.6,176.7,172.0,41.9,213.9,66.4,52.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_119.png
57,Bioterg i wt.%,AL2O3_Done,0.00625,1,57,348.98,0.499,2002592.0,1704103.0,715.0,798.0,892.0,1000.0,1.0,1.0,349.05,141.5,34.6,176.1,171.2,41.9,213.1,66.1,52.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_120.png
58,Bioterg i wt.%,AL2O3_Done,0.00625,1,58,353.98,0.491,2038572.0,1788901.0,720.0,806.0,901.0,1019.0,1.0,1.0,354.05,140.9,34.8,175.6,170.5,42.0,212.5,65.8,51.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_121.png
59,Bioterg i wt.%,AL2O3_Done,0.00625,1,59,358.98,0.506,1976587.0,1760184.0,704.0,793.0,893.0,1010.0,1.0,1.0,359.05,124.0,50.7,174.7,150.0,61.4,211.4,57.9,-4.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_122.png
60,Bioterg i wt.%,AL2O3_Done,0.00625,1,60,363.98,0.453,2207442.0,1759389.0,767.0,838.0,916.0,1021.0,1.0,1.0,364.05,139.1,34.6,173.8,168.3,41.9,210.2,65.0,52.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_123.png
61,Bioterg i wt.%,AL2O3_Done,0.00625,1,61,368.98,0.433,2309329.0,1798116.0,793.0,857.0,927.0,1033.0,1.0,1.0,369.05,138.2,34.6,172.9,167.3,41.9,209.2,64.6,52.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_124.png
62,Bioterg i wt.%,AL2O3_Done,0.00625,1,62,373.98,0.5,1999800.0,1558238.0,735.0,798.0,867.0,963.0,1.0,1.0,374.05,119.6,50.6,170.3,144.7,61.3,206.0,55.9,-3.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_125.png
63,Bioterg i wt.%,AL2O3_Done,0.00625,1,63,378.98,0.453,2205787.0,1570053.0,787.0,838.0,892.0,980.0,1.0,2.0,379.05,118.8,50.7,169.5,143.7,61.4,205.1,55.5,-4.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_126.png
64,Bioterg i wt.%,AL2O3_Done,0.00625,1,64,383.98,0.464,2153233.0,1585286.0,773.0,828.0,887.0,978.0,1.0,1.0,384.05,126.1,42.5,168.6,152.6,51.4,204.0,58.9,24.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_127.png
65,Bioterg i wt.%,AL2O3_Done,0.00625,1,65,388.98,0.469,2133000.0,1645089.0,760.0,824.0,893.0,988.0,1.0,1.0,389.05,133.5,34.8,168.2,161.5,42.0,203.6,62.3,51.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_128.png
66,Bioterg i wt.%,AL2O3_Done,0.00625,1,66,393.98,0.451,2219750.0,1661617.0,789.0,841.0,896.0,996.0,1.0,2.0,394.05,116.4,50.7,167.1,140.8,61.4,202.2,54.3,-4.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_129.png
67,Bioterg i wt.%,AL2O3_Done,0.00625,1,67,398.98,0.512,1951390.0,1636979.0,720.0,788.0,862.0,972.0,1.0,2.0,399.05,116.3,50.5,166.8,140.7,61.1,201.8,54.3,-3.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_130.png
